Technique,Model,Use_Case,Pre_Compression_Accuracy (%),Post_Compression_Accuracy (%),Model_Size_MB_Before,Model_Size_MB_After,Inference_Time_Before (ms),Inference_Time_After (ms),Energy_Consumption_After (mWh),Device_Type,Network_Availability,Location
Weight Sharing,SqueezeNet,Healthcare,83.6,82.3,21.2,6.5,433,261.8,34.7,Mid-Range,Poor,Assam
Pruning,ResNet18,Healthcare,86.3,83.7,38.1,15.5,526,308.1,15.7,Mid-Range,Moderate,Assam
Quantization,MobileNetV2,Agriculture,87.5,85.5,8.1,3.4,540.7,326.6,32.3,Low-End,Good,Tamil Nadu
Knowledge Distillation,MobileNet,Education,90.7,88.2,19.2,10.6,349.4,193.5,25.8,Mid-Range,Poor,West Bengal
Weight Sharing,ResNet50,Agriculture,86.2,83.5,53,20.7,446.2,239.8,35.6,Low-End,Moderate,Assam
Pruning,ResNet18,Agriculture,94,92.8,25.7,9.1,304.2,171.5,11,Mid-Range,Good,West Bengal
Quantization,MobileNet,Education,83,81.2,23.8,8.3,468.1,313.7,37.8,Mid-Range,Good,Manipur
Knowledge Distillation,MobileNetV2,Education,87.9,86.2,49.6,24.8,423.4,224.6,12,Low-End,Poor,Andhra Pradesh
Weight Sharing,ResNet18,Agriculture,83.1,82,81,34.6,171,123.2,35.2,Mid-Range,Moderate,Andhra Pradesh
Pruning,MobileNetV2,Agriculture,86.8,85.8,98,34,571.4,302.5,33.3,Low-End,Moderate,Bihar
Quantization,MobileNetV2,Healthcare,86.8,85.4,23.4,14.9,590.1,379.2,33.1,Low-End,Good,Jharkhand
Knowledge Distillation,MobileNetV2,Healthcare,85.3,84.5,64.5,30.6,471.9,269,36.1,Low-End,Poor,Madhya Pradesh
Weight Sharing,ResNet18,Healthcare,83.6,82.5,16,9.3,454.3,315.2,38.9,Low-End,Poor,Jharkhand
Pruning,ResNet50,Healthcare,85.7,84.1,27.1,13.8,394.7,308.8,36.1,Low-End,Good,Jharkhand
Quantization,MobileNetV2,Agriculture,91.2,89.4,58.1,37.2,240,171,11.9,Low-End,Poor,Chhattisgarh
Knowledge Distillation,ResNet18,Healthcare,83.4,81.1,45.6,18.6,405.3,301.7,34.8,Mid-Range,Moderate,Jharkhand
Weight Sharing,MobileNetV2,Education,85.4,83.7,39.5,15.2,288.6,165.8,33.9,Low-End,Moderate,Manipur
Pruning,SqueezeNet,Education,91.3,89.5,12.7,5.9,390.5,281.1,26.4,Low-End,Moderate,Rajasthan
Quantization,ResNet18,Agriculture,90.3,88.1,43.3,27.8,222.2,149,17.3,Low-End,Poor,Jharkhand
Knowledge Distillation,SqueezeNet,Agriculture,89,86.7,14.8,6.5,178.6,91.5,21.1,Low-End,Poor,Jharkhand
Weight Sharing,MobileNet,Education,90.3,87.7,29,18.1,498.2,345,31.2,Low-End,Good,Andhra Pradesh
Pruning,ResNet50,Healthcare,94,92.1,17.4,6.7,546.6,367.6,29.3,Mid-Range,Moderate,Jharkhand
Quantization,MobileNet,Education,90.3,88.6,20.6,12.6,512.2,406.1,22.8,Mid-Range,Good,West Bengal
Knowledge Distillation,MobileNetV2,Agriculture,85,84.5,70.1,27.9,450,262.1,24,Low-End,Poor,Assam
Weight Sharing,ResNet50,Agriculture,85.6,83.9,84.8,39.6,357.7,285.9,39.9,Low-End,Poor,Uttar Pradesh
Pruning,MobileNet,Agriculture,91.1,88.7,60.6,39.4,544,362.6,12.1,Low-End,Moderate,Assam
Quantization,ResNet18,Healthcare,89.9,89.4,73.6,46.3,530.6,300.3,31.4,Mid-Range,Poor,Uttar Pradesh
Knowledge Distillation,EfficientNet,Healthcare,87.7,87.1,57,25.7,393.5,249.3,23,Low-End,Good,Madhya Pradesh
Weight Sharing,SqueezeNet,Healthcare,88.5,86.8,69,33.1,157.9,88.2,34.5,Low-End,Poor,Andhra Pradesh
Pruning,EfficientNet,Education,91.2,90.2,41.1,24.5,339.3,228.7,20.4,Mid-Range,Good,Jharkhand
Quantization,SqueezeNet,Education,92.6,91.9,37.9,21.8,275.4,138.2,33.5,Mid-Range,Moderate,Odisha
Knowledge Distillation,EfficientNet,Agriculture,90.4,89,50.9,22.3,590.1,386.2,37.1,Mid-Range,Moderate,Madhya Pradesh
Weight Sharing,SqueezeNet,Healthcare,83,82.3,95.6,45.2,342.2,178,39.5,Low-End,Poor,Andhra Pradesh
Pruning,MobileNetV2,Agriculture,84.9,84.3,56.2,26.9,493.7,305.8,27.2,Low-End,Poor,Odisha
Quantization,ResNet18,Education,83.7,82.2,64.1,35.9,383.1,214.1,14.6,Low-End,Poor,Chhattisgarh
Knowledge Distillation,MobileNet,Healthcare,92.2,91,80.4,32.8,261.3,200.6,19.8,Mid-Range,Poor,Jharkhand
Weight Sharing,EfficientNet,Healthcare,91.2,88.3,55.1,23.8,512.9,364.5,21,Low-End,Moderate,Andhra Pradesh
Pruning,ResNet18,Agriculture,88,85.1,84.1,39.9,431.1,258.7,16.2,Low-End,Poor,Assam
Quantization,EfficientNet,Healthcare,93.5,92.4,62,21.3,467.2,353.1,15.2,Mid-Range,Good,West Bengal
Knowledge Distillation,EfficientNet,Education,86.7,86,34.9,18.5,582.8,318,22.5,Low-End,Good,Andhra Pradesh
Weight Sharing,SqueezeNet,Agriculture,87.2,85.3,74.7,29.5,528.1,414.3,37.1,Low-End,Moderate,Manipur
Pruning,ResNet18,Healthcare,85.4,83.3,14,9.2,393.7,210.3,14.4,Mid-Range,Good,Andhra Pradesh
Quantization,ResNet18,Education,85.1,84.2,4.5,1.9,403,257.2,36.2,Low-End,Moderate,West Bengal
Knowledge Distillation,EfficientNet,Agriculture,90.2,88.1,45.2,20.2,276.6,192.9,26.9,Mid-Range,Poor,Rajasthan
Weight Sharing,EfficientNet,Education,83.8,82.6,34,14.2,378.1,221.7,11.9,Low-End,Poor,Chhattisgarh
Pruning,ResNet50,Agriculture,92.8,90.9,54.2,21.8,245.5,131.5,27.4,Low-End,Poor,Manipur
Quantization,ResNet50,Education,91.2,89.9,19.1,11.5,321.8,213.2,33.5,Mid-Range,Poor,Chhattisgarh
Knowledge Distillation,ResNet18,Agriculture,91.2,88.8,12,7.7,381.8,195.5,11.8,Mid-Range,Moderate,Tamil Nadu
Weight Sharing,EfficientNet,Agriculture,88.7,86.4,95.8,51.6,201.8,133.6,19.3,Mid-Range,Good,Assam
Pruning,ResNet18,Education,90.9,90.2,25.2,8.1,240.3,181.1,18.9,Low-End,Poor,Rajasthan
Quantization,ResNet18,Healthcare,91.5,90,52.3,30.1,485.3,358.4,25.9,Low-End,Poor,Jharkhand
Knowledge Distillation,SqueezeNet,Healthcare,88,85.3,44.1,17.2,262.1,197.1,38.2,Low-End,Poor,Jharkhand
Weight Sharing,SqueezeNet,Education,86.6,85.1,40.3,21.2,425.3,303.8,28.9,Mid-Range,Good,Rajasthan
Pruning,MobileNetV2,Education,88,85.4,6.9,2.6,351.6,254.4,22,Low-End,Good,Rajasthan
Quantization,EfficientNet,Education,90.2,88.6,29,17.1,208.7,136,31.7,Low-End,Moderate,West Bengal
Knowledge Distillation,ResNet18,Education,85.5,82.7,69.4,25.3,248.9,187,30,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,ResNet50,Healthcare,85.9,83.5,30.9,10.7,375.3,196.7,36.9,Mid-Range,Moderate,Jharkhand
Pruning,SqueezeNet,Education,90.2,89.7,26.7,8.7,347.1,263,24.9,Low-End,Good,Tamil Nadu
Quantization,SqueezeNet,Education,93,91.8,40.8,25.2,172.1,117.8,29.5,Low-End,Moderate,Assam
Knowledge Distillation,ResNet18,Agriculture,88.7,87.9,66,27.6,165.5,105.4,20.4,Mid-Range,Good,West Bengal
Weight Sharing,SqueezeNet,Agriculture,88.1,85.2,98.7,61.7,197.1,114.3,31.6,Mid-Range,Moderate,Bihar
Pruning,MobileNet,Agriculture,92.4,91.1,58.2,29.4,275.1,193.1,28.7,Low-End,Good,Andhra Pradesh
Quantization,SqueezeNet,Agriculture,84.1,83.1,87.8,29.4,341.9,201.7,33,Mid-Range,Poor,Madhya Pradesh
Knowledge Distillation,MobileNetV2,Education,89.9,87.9,81.9,50,401.5,290.3,20.8,Mid-Range,Poor,Chhattisgarh
Weight Sharing,MobileNet,Healthcare,88.3,87,37.9,12.6,493.5,369.4,30.6,Low-End,Good,West Bengal
Pruning,ResNet50,Education,85.1,83.1,63.2,28,166.6,109.3,19.1,Low-End,Poor,Andhra Pradesh
Quantization,ResNet50,Healthcare,85.3,84.6,55.7,19,562.8,320.8,31.2,Mid-Range,Poor,West Bengal
Knowledge Distillation,MobileNetV2,Education,91.4,90.6,55.6,31.4,524.4,293.1,22.8,Low-End,Good,Odisha
Weight Sharing,SqueezeNet,Agriculture,83.2,80.2,50.5,21.6,358.6,231.7,10.1,Low-End,Good,Assam
Pruning,SqueezeNet,Education,89.5,86.8,60.9,33.7,446.9,276.9,31,Low-End,Good,West Bengal
Quantization,SqueezeNet,Education,83.9,81.4,64.4,32.3,487.9,286.6,12,Low-End,Poor,West Bengal
Knowledge Distillation,MobileNet,Agriculture,92.1,89.9,46.6,15.7,166.8,92.4,19.1,Mid-Range,Good,Assam
Weight Sharing,ResNet18,Healthcare,93,91.7,63,32.1,335.6,187.5,26.9,Mid-Range,Moderate,West Bengal
Pruning,ResNet50,Healthcare,89.9,87.8,5.3,3.1,256.6,200.5,11.2,Low-End,Poor,Rajasthan
Quantization,MobileNetV2,Agriculture,92.7,90.1,14.5,7.3,396.3,304.8,27.3,Mid-Range,Moderate,Andhra Pradesh
Knowledge Distillation,MobileNet,Education,93.6,93,14.6,6.8,347.7,182.9,21.1,Low-End,Poor,Manipur
Weight Sharing,ResNet50,Education,90.6,89.1,58,35.7,355.2,207,28.4,Low-End,Moderate,Tamil Nadu
Pruning,MobileNetV2,Education,91.1,88.3,32.9,21.6,173.4,135.5,31.3,Low-End,Moderate,Bihar
Quantization,EfficientNet,Education,89.2,87.3,55.4,22.7,492.4,361.5,24.9,Mid-Range,Moderate,Andhra Pradesh
Knowledge Distillation,EfficientNet,Healthcare,88.2,86.8,31.2,9.8,260.2,181.4,29.6,Mid-Range,Poor,Bihar
Weight Sharing,MobileNetV2,Education,83,81.6,53.5,23.4,239.8,148.4,15.1,Low-End,Moderate,Rajasthan
Pruning,MobileNetV2,Agriculture,83.2,80.5,58.5,30.9,513.4,275.4,12.3,Mid-Range,Poor,Chhattisgarh
Quantization,SqueezeNet,Education,92,90,21.9,13.4,500.1,286.8,22.3,Low-End,Moderate,Manipur
Knowledge Distillation,ResNet18,Agriculture,84.1,83.2,97.8,54.3,281.2,191,13.6,Low-End,Moderate,Bihar
Weight Sharing,SqueezeNet,Agriculture,88.3,87.2,82.5,57.3,320.9,250.3,18,Mid-Range,Moderate,Rajasthan
Pruning,ResNet50,Education,90.4,89.2,48.8,23.5,354.1,209.9,12.2,Low-End,Poor,Odisha
Quantization,MobileNet,Healthcare,83.1,81.9,14.1,7.5,232.4,162.7,36.9,Mid-Range,Good,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Healthcare,88.5,86.2,85.5,47.3,371.9,259.1,24.7,Mid-Range,Poor,Assam
Weight Sharing,MobileNet,Agriculture,88.4,87.6,8.6,2.7,297.8,190.8,32.1,Mid-Range,Poor,Andhra Pradesh
Pruning,ResNet18,Healthcare,85.2,82.9,68.7,30.5,194.5,143.8,29.2,Low-End,Good,Chhattisgarh
Quantization,ResNet18,Agriculture,92.7,90.9,24.4,12.6,561.5,281.6,36.7,Mid-Range,Good,West Bengal
Knowledge Distillation,ResNet18,Education,85.8,83.3,23.2,11.8,335.5,179.4,30.1,Mid-Range,Poor,Andhra Pradesh
Weight Sharing,EfficientNet,Healthcare,91.5,89.6,49.5,28.3,244.6,163.8,32.9,Low-End,Good,Assam
Pruning,ResNet18,Healthcare,93.7,91.4,72.2,21.7,183.3,104.4,31.8,Low-End,Moderate,Manipur
Quantization,ResNet18,Agriculture,87.2,85.6,50.3,28.9,250.1,140.9,34.7,Mid-Range,Good,Odisha
Knowledge Distillation,EfficientNet,Agriculture,86.4,85.2,4.9,2.7,250.3,158.8,14.2,Low-End,Moderate,Chhattisgarh
Weight Sharing,MobileNetV2,Agriculture,92.4,89.9,9,4.4,536.6,336,30,Mid-Range,Good,Andhra Pradesh
Pruning,EfficientNet,Agriculture,90.9,89.5,21.3,13.1,544.1,289.9,25.5,Mid-Range,Poor,West Bengal
Quantization,ResNet18,Agriculture,86.7,84.8,64.2,36.9,334.6,210.2,15.5,Low-End,Moderate,Madhya Pradesh
Knowledge Distillation,SqueezeNet,Education,87.4,86.7,24.4,13.5,189.5,117.6,15.8,Low-End,Poor,Rajasthan
Weight Sharing,SqueezeNet,Healthcare,89.3,86.3,54.6,31.6,320.4,213.7,23,Low-End,Good,Odisha
Pruning,EfficientNet,Healthcare,91.7,90.7,85.3,52.6,223.1,150.9,12.2,Mid-Range,Moderate,Madhya Pradesh
Quantization,SqueezeNet,Education,85.2,83.9,18.8,7.6,441.6,261,15.9,Low-End,Moderate,Rajasthan
Knowledge Distillation,SqueezeNet,Healthcare,90.7,88.9,45.9,28.6,454.8,285.8,11.8,Low-End,Poor,West Bengal
Weight Sharing,MobileNetV2,Agriculture,91.6,90.3,43.9,29.4,422.7,278.5,32.9,Low-End,Good,Bihar
Pruning,ResNet50,Agriculture,84.3,81.3,73.7,31.2,157,82.4,25.8,Low-End,Good,Odisha
Quantization,MobileNetV2,Education,92.2,90.2,66.9,42.7,489.6,307.1,14.3,Low-End,Moderate,Madhya Pradesh
Knowledge Distillation,EfficientNet,Agriculture,87.6,85.6,96.5,29.8,351.1,269,24.2,Low-End,Good,West Bengal
Weight Sharing,ResNet50,Education,92.8,92,79.2,31.8,250.2,144.8,10.1,Low-End,Poor,Uttar Pradesh
Pruning,MobileNet,Education,86.5,84.1,89.1,53.5,298.7,233.8,16,Mid-Range,Poor,West Bengal
Quantization,EfficientNet,Healthcare,86.4,83.9,11.9,8.3,550.6,348.8,19.7,Mid-Range,Poor,Andhra Pradesh
Knowledge Distillation,ResNet18,Education,89,87.3,25.1,16.5,235.4,118.9,35.3,Mid-Range,Moderate,Rajasthan
Weight Sharing,MobileNet,Healthcare,90.7,88.4,60.6,37.8,307.9,225.4,20,Low-End,Moderate,Madhya Pradesh
Pruning,MobileNet,Education,91.3,88.9,48.2,33.5,588.9,430.7,28.7,Low-End,Poor,Andhra Pradesh
Quantization,ResNet50,Healthcare,89.6,88.1,27.1,8.1,195.9,120.7,24.1,Low-End,Good,Tamil Nadu
Knowledge Distillation,MobileNet,Education,87.6,85.1,50.7,25.4,183.8,92.8,38.2,Mid-Range,Poor,Madhya Pradesh
Weight Sharing,SqueezeNet,Agriculture,92.6,90.7,43.7,17.8,418.9,260.4,23.4,Mid-Range,Good,Chhattisgarh
Pruning,MobileNet,Education,87,86.5,16.1,9.1,327.7,208.6,11.9,Mid-Range,Moderate,Andhra Pradesh
Quantization,MobileNet,Agriculture,83.8,82.9,27.2,17.1,361.8,243.5,15.5,Mid-Range,Poor,Bihar
Knowledge Distillation,MobileNetV2,Healthcare,84.1,82.4,92.9,36,522.4,288.6,32.7,Low-End,Moderate,Odisha
Weight Sharing,SqueezeNet,Education,89.4,88.9,7.4,3.5,262.6,207.6,32.9,Low-End,Moderate,Jharkhand
Pruning,EfficientNet,Agriculture,90.9,87.9,16.7,7.1,485.2,363,36.8,Low-End,Good,Assam
Quantization,MobileNet,Education,92.3,90.7,14.7,8.8,393.4,265.8,36.8,Low-End,Moderate,Madhya Pradesh
Knowledge Distillation,MobileNetV2,Healthcare,86.4,84.5,12.8,6.4,524.1,312.9,25.2,Mid-Range,Good,Jharkhand
Weight Sharing,ResNet50,Healthcare,92.1,90.7,10.6,4.8,546.8,384,29.4,Mid-Range,Moderate,Manipur
Pruning,EfficientNet,Healthcare,85.2,82.7,17,6.5,521.3,342.8,12.8,Mid-Range,Poor,Bihar
Quantization,EfficientNet,Education,93.3,91.5,53.4,27,412.1,235,20.6,Mid-Range,Moderate,Tamil Nadu
Knowledge Distillation,ResNet18,Healthcare,93.2,92.2,82.6,36.7,530.4,360,15.3,Mid-Range,Good,Madhya Pradesh
Weight Sharing,MobileNet,Education,83.3,82.6,15.4,6.1,384.6,220.6,21,Mid-Range,Poor,Uttar Pradesh
Pruning,EfficientNet,Healthcare,89.2,88.5,55.7,26.5,258.5,180.2,37.4,Mid-Range,Moderate,Assam
Quantization,ResNet18,Education,89.7,87.8,63.8,23.7,414.8,247.5,19.8,Mid-Range,Poor,Odisha
Knowledge Distillation,ResNet50,Agriculture,88.3,87,5,3.2,397.9,259.6,24.5,Low-End,Moderate,Madhya Pradesh
Weight Sharing,ResNet50,Healthcare,84.5,83,77.2,40.3,273.1,152.6,32.4,Mid-Range,Moderate,Madhya Pradesh
Pruning,MobileNetV2,Healthcare,88.1,85.2,38.1,16,550.1,317.6,39.2,Mid-Range,Moderate,Tamil Nadu
Quantization,MobileNetV2,Agriculture,86.2,83.7,85.3,35.1,229.1,116.9,31.7,Mid-Range,Moderate,Uttar Pradesh
Knowledge Distillation,MobileNetV2,Agriculture,89.5,88.9,83.4,37.8,234.5,128.6,22.7,Low-End,Moderate,Tamil Nadu
Weight Sharing,MobileNet,Healthcare,93.3,90.9,99.1,44,164.9,128.1,19.5,Mid-Range,Poor,Rajasthan
Pruning,SqueezeNet,Healthcare,85.1,84.2,18.6,5.8,302.4,158.9,14.3,Low-End,Moderate,Jharkhand
Quantization,MobileNet,Healthcare,92.3,89.6,70.2,48.4,297.8,157.9,33.5,Low-End,Good,Andhra Pradesh
Knowledge Distillation,ResNet50,Agriculture,88,86.4,26.3,12.8,229,158.1,14.3,Low-End,Good,Bihar
Weight Sharing,ResNet50,Healthcare,91.2,89.9,25.7,13,534.4,390,12.6,Mid-Range,Moderate,Manipur
Pruning,SqueezeNet,Healthcare,85.8,83.1,6.8,2.5,179.4,125.5,25.8,Mid-Range,Poor,Chhattisgarh
Quantization,ResNet18,Education,86,84.1,86.2,36.9,165.8,98.6,13,Low-End,Moderate,West Bengal
Knowledge Distillation,ResNet50,Healthcare,86,84.2,47.1,30.1,503.4,351.9,29.5,Low-End,Good,Tamil Nadu
Weight Sharing,MobileNetV2,Healthcare,91.8,88.9,42.1,23.5,282.1,209.3,21.3,Mid-Range,Poor,Tamil Nadu
Pruning,MobileNet,Agriculture,86,84.8,43.4,23.5,244.5,168,21.3,Low-End,Good,Manipur
Quantization,ResNet18,Healthcare,87.2,85.9,5,2,586.9,453.8,11.3,Mid-Range,Poor,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Healthcare,85.4,83.2,40.4,15.1,478.9,322.7,17.6,Low-End,Good,West Bengal
Weight Sharing,MobileNet,Agriculture,84.5,82.9,59.8,27.8,312.5,231.4,34,Low-End,Moderate,Bihar
Pruning,EfficientNet,Healthcare,90.6,89.2,82.6,52.2,413.1,330.4,32.2,Mid-Range,Moderate,Jharkhand
Quantization,MobileNet,Agriculture,92,89,44.9,30.4,473.7,372.4,22,Mid-Range,Poor,Tamil Nadu
Knowledge Distillation,ResNet50,Healthcare,87.9,85.4,34.5,14,471,365,31.6,Low-End,Good,Odisha
Weight Sharing,MobileNetV2,Healthcare,83.6,82.1,48.9,27.9,260.5,202.6,15.4,Mid-Range,Poor,Madhya Pradesh
Pruning,ResNet18,Healthcare,83.5,81.3,45.7,17.7,436.9,231.3,13.3,Mid-Range,Poor,Assam
Quantization,ResNet18,Healthcare,93.9,92.9,71,48.7,228.8,149.6,32.3,Mid-Range,Poor,West Bengal
Knowledge Distillation,MobileNet,Agriculture,87.8,85.9,91.4,31,207.1,139.4,39.6,Mid-Range,Moderate,Rajasthan
Weight Sharing,MobileNet,Healthcare,85.7,83.6,36.4,14.7,451,238.1,12.9,Mid-Range,Good,Bihar
Pruning,SqueezeNet,Healthcare,90.4,88.4,50.2,34.6,287.2,197.7,37.1,Low-End,Poor,Jharkhand
Quantization,MobileNetV2,Agriculture,90.9,89.6,63.2,21.1,389.2,303.2,18.9,Mid-Range,Moderate,Assam
Knowledge Distillation,SqueezeNet,Agriculture,90.3,88.7,77.7,32.4,303.4,167.7,15.8,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,ResNet18,Agriculture,92.3,89.4,40.5,27.1,350,222.6,16.2,Low-End,Good,Manipur
Pruning,ResNet50,Agriculture,90.5,89.3,44,27.9,273.2,146.6,34.8,Mid-Range,Moderate,Andhra Pradesh
Quantization,ResNet18,Education,93.2,92.1,90.9,41.9,213.8,120.3,35.2,Low-End,Good,Rajasthan
Knowledge Distillation,ResNet50,Agriculture,93.4,90.5,20.9,9.3,293.2,191.6,12.7,Mid-Range,Moderate,Odisha
Weight Sharing,SqueezeNet,Education,86.2,85,49.9,24.4,232.1,120.2,38.9,Low-End,Good,Bihar
Pruning,ResNet18,Education,85.9,83.6,23.8,14.6,284.5,220.3,10.2,Mid-Range,Good,Uttar Pradesh
Quantization,EfficientNet,Agriculture,88.5,86.2,76.7,50.9,457.8,366,21.1,Mid-Range,Poor,Andhra Pradesh
Knowledge Distillation,EfficientNet,Healthcare,83.9,83,59.8,33.4,204.6,153.3,20.3,Low-End,Moderate,Bihar
Weight Sharing,MobileNetV2,Healthcare,90.4,88.3,40.7,22.9,160.4,100.9,10.8,Low-End,Poor,Andhra Pradesh
Pruning,MobileNetV2,Agriculture,93.4,92.8,77.7,31.6,268.5,193.3,25,Mid-Range,Moderate,Andhra Pradesh
Quantization,MobileNetV2,Agriculture,92.6,92.1,41,21.7,233.8,149.5,35.8,Mid-Range,Good,Manipur
Knowledge Distillation,SqueezeNet,Healthcare,86.4,85.4,32.6,11.9,244.9,187.2,37.6,Low-End,Poor,Manipur
Weight Sharing,ResNet18,Education,92.7,90,86.8,43.5,347.7,262,10.8,Mid-Range,Poor,Bihar
Pruning,EfficientNet,Education,93.2,90.5,43.5,20.5,364.3,207.1,28.3,Mid-Range,Moderate,West Bengal
Quantization,ResNet18,Education,87.5,86.3,24.1,8.2,449.1,253.3,34.7,Mid-Range,Poor,Madhya Pradesh
Knowledge Distillation,ResNet50,Agriculture,85.5,84.8,45.2,28.8,523.6,352.5,26.5,Low-End,Moderate,Madhya Pradesh
Weight Sharing,ResNet18,Healthcare,85,82.1,8.7,3.6,256.2,159,35.2,Low-End,Poor,Uttar Pradesh
Pruning,SqueezeNet,Education,90.2,87.8,25.7,12.8,530.5,357.7,27.1,Mid-Range,Poor,Manipur
Quantization,EfficientNet,Agriculture,89.6,88.1,23.1,11.3,150.1,75.2,24.1,Mid-Range,Moderate,Jharkhand
Knowledge Distillation,MobileNetV2,Education,89.2,87.1,45.1,20.4,259.1,179.6,23.4,Mid-Range,Good,Rajasthan
Weight Sharing,ResNet50,Education,85.4,82.9,79.1,24,382.5,279.8,34.5,Low-End,Moderate,Uttar Pradesh
Pruning,ResNet50,Agriculture,88.4,87.4,87.2,56.7,290.6,163,37.4,Mid-Range,Poor,Andhra Pradesh
Quantization,MobileNet,Agriculture,85.9,84.8,51.6,17.1,308.9,205.9,31.1,Low-End,Good,Tamil Nadu
Knowledge Distillation,MobileNet,Education,84.4,83.6,77,38.4,275.8,204.1,20.7,Low-End,Moderate,Madhya Pradesh
Weight Sharing,EfficientNet,Education,84.8,81.8,54.5,24.5,245.1,134.4,12,Low-End,Moderate,Chhattisgarh
Pruning,MobileNetV2,Agriculture,93.9,93,7.8,4.3,337.9,187.1,17.2,Mid-Range,Poor,Odisha
Quantization,SqueezeNet,Agriculture,88.2,86.7,7.8,4.1,413,296.6,25.9,Low-End,Good,West Bengal
Knowledge Distillation,ResNet50,Healthcare,92.5,89.8,9.3,4.1,251.8,158.1,37.4,Low-End,Good,Andhra Pradesh
Weight Sharing,MobileNetV2,Agriculture,91.3,88.3,35.2,19.7,381.3,199.3,28.9,Mid-Range,Good,Jharkhand
Pruning,MobileNetV2,Healthcare,87.2,84.7,51.5,30.5,230.7,134.8,17.7,Low-End,Good,Manipur
Quantization,MobileNet,Healthcare,85.2,84.5,93.7,61.9,458.5,257.5,35.2,Low-End,Poor,Chhattisgarh
Knowledge Distillation,ResNet50,Education,85.6,83.9,83.6,35.2,169.2,107.2,26.6,Low-End,Poor,West Bengal
Weight Sharing,MobileNetV2,Education,85.4,82.6,27.7,13.6,402,240.6,10.7,Mid-Range,Poor,Tamil Nadu
Pruning,EfficientNet,Healthcare,93.4,91,32.7,9.8,470.7,238.2,27.7,Mid-Range,Poor,West Bengal
Quantization,MobileNetV2,Agriculture,92.9,89.9,53.9,25.2,211.3,116,18.6,Low-End,Moderate,Bihar
Knowledge Distillation,MobileNetV2,Agriculture,84.2,82.2,51.8,19.7,299.9,233.7,28.2,Low-End,Poor,Odisha
Weight Sharing,MobileNetV2,Agriculture,84.1,82,57.2,20.3,195.3,107.8,28.6,Low-End,Good,Jharkhand
Pruning,MobileNetV2,Education,87.8,84.9,33.3,18.3,346.6,225.2,32.3,Mid-Range,Moderate,Uttar Pradesh
Quantization,EfficientNet,Education,92.9,91,92.9,64.4,283.1,176.4,35.4,Low-End,Moderate,Bihar
Knowledge Distillation,MobileNet,Healthcare,85.9,84.8,44.3,31,247.5,182.3,32.2,Mid-Range,Good,Uttar Pradesh
Weight Sharing,MobileNetV2,Agriculture,87.7,86,90.1,54.7,400.1,316,25.2,Low-End,Good,Andhra Pradesh
Pruning,ResNet18,Healthcare,91.9,90.2,43.4,18.1,286.6,212.8,24.9,Low-End,Poor,Rajasthan
Quantization,MobileNet,Agriculture,88.5,87.9,4.8,1.5,234.4,163,11.5,Low-End,Poor,Uttar Pradesh
Knowledge Distillation,EfficientNet,Healthcare,93.3,92.4,17.3,8.5,510.6,274.2,30,Mid-Range,Good,Bihar
Weight Sharing,MobileNetV2,Education,91.5,88.9,16.5,8.5,349.2,246.3,26.6,Mid-Range,Poor,Andhra Pradesh
Pruning,MobileNetV2,Agriculture,87,86.4,72.1,50.3,331.3,171.8,20.6,Mid-Range,Poor,Jharkhand
Quantization,SqueezeNet,Healthcare,88.9,87.2,49.2,18.7,570,387.1,34.5,Low-End,Poor,Rajasthan
Knowledge Distillation,MobileNet,Healthcare,90.5,89.7,44,15.3,299,218.4,11.2,Low-End,Poor,Bihar
Weight Sharing,MobileNet,Education,86.4,85.2,59.6,29.9,402.2,254.8,10.2,Low-End,Poor,Assam
Pruning,MobileNetV2,Healthcare,88.3,85.5,68.2,43,294.9,162.4,29.9,Low-End,Moderate,Jharkhand
Quantization,EfficientNet,Healthcare,91.2,89.4,18.1,8.8,381,303.7,36.5,Low-End,Good,Jharkhand
Knowledge Distillation,ResNet50,Healthcare,84.4,82.1,9.6,3,323.1,211.3,10.4,Mid-Range,Good,Andhra Pradesh
Weight Sharing,MobileNet,Education,86.2,85.3,30.3,12,359.6,222.8,16.4,Mid-Range,Moderate,Rajasthan
Pruning,MobileNet,Healthcare,91.4,89.7,84,25.7,423.5,329.8,38.1,Mid-Range,Good,Tamil Nadu
Quantization,MobileNet,Education,84.2,83.7,90.2,53.8,299.9,181.9,27.5,Low-End,Good,West Bengal
Knowledge Distillation,MobileNet,Healthcare,89.3,88.5,39.4,27.4,189.3,128.3,28.5,Low-End,Moderate,Chhattisgarh
Weight Sharing,ResNet18,Agriculture,92.1,91.5,46,18.1,541.3,276.5,18.9,Mid-Range,Moderate,Assam
Pruning,ResNet50,Healthcare,91.4,88.5,23.1,9.3,306.8,207,13.5,Mid-Range,Moderate,Assam
Quantization,ResNet18,Agriculture,91,88,79.4,24,592.6,467.3,24.4,Mid-Range,Moderate,Madhya Pradesh
Knowledge Distillation,SqueezeNet,Healthcare,86.7,86.2,39.1,27.3,426.3,328.4,12.6,Low-End,Poor,Rajasthan
